name,H,lambda,runtime_s,Overflow_m3,PeakQ_m3s,Load,Effort,Smooth,PeakQ_ratio,Load_ratio,Smooth_ratio,Effort_ratio
"LAO-term(H=48,λ=0.2)",48,0.2,1.8622088969568722,0.0,0.1784808639075161,41.9136112188243,0.45000000000000007,2.7659222744897773,1.3729124177176826,1.0164076175732222,1.700456200060941,1.0344827586206897
"LAO-term(H=48,λ=2.0)",48,2.0,1.8698907409561798,0.0,0.1797290543363179,44.168435747579395,0.665,2.781253510308302,1.382513761536067,1.0710872493365746,1.7098816619557495,1.5287356321839078
"LAO-term(H=48,λ=0.1)",48,0.1,1.9083479870459996,0.0,0.1844331158716781,42.498075762636475,6.790000000000001,2.9133367431330646,1.4186983941863809,1.0305809182566372,1.7910848664899017,15.60919540229885
"LAO-term(H=48,λ=0.5)",48,0.5,1.8461194359697402,0.0,0.18457639189912303,42.44958788177112,0.4350000000000001,2.9219856616887245,1.419800503583063,1.0294050842008642,1.7964021190090482,1.0000000000000002
"LAO-term(H=48,λ=1.0)",48,1.0,1.8622092659934424,0.0,0.1904559726141514,42.712692121005574,0.6849999999999998,2.93708391891217,1.4650274774888965,1.0357853779812674,1.8056843484276093,1.5747126436781604
"LAO-term(H=24,λ=1.0)",24,1.0,1.1362416180199943,0.0,0.19479464340630998,49.80655114856617,0.19000000000000003,3.1203612304179353,1.498401447541115,1.2078118902271242,1.9183610651795178,0.4367816091954023
"LAO-term(H=32,λ=1.0)",32,1.0,1.3898500970099121,0.0,0.1950381571193187,42.350912367709114,0.6300000000000001,3.2560190212787474,1.5002746063389538,1.0270121969920536,2.0017618655864604,1.4482758620689655
"LAO-term(H=32,λ=0.5)",32,0.5,1.3788520299713127,0.0,0.21240676659477148,43.13050825351931,6.0600000000000005,3.5375317352968816,1.6338776106346649,1.0459174445697272,2.174832542359698,13.931034482758621
"LAO-term(H=32,λ=0.1)",32,0.1,1.3880075470078737,0.0,0.2116084600535758,42.95507851408613,1.0850000000000002,3.543058645966971,1.6277368684869762,1.0416632627341929,2.1782304214696127,2.4942528735632186
"LAO-term(H=32,λ=0.2)",32,0.2,1.374071914004162,0.0,0.21196320575071212,43.12793504674209,0.4849999999999999,3.5792697075258326,1.6304656471474308,1.0458550441491024,2.2004925525159065,1.1149425287356318
"LAO-term(H=32,λ=2.0)",32,2.0,1.3890938899712637,0.0,0.2155114470287775,43.154851306311656,0.42500000000000004,3.6172408175199404,1.6577594668044147,1.046507765078355,2.2238367404593613,0.9770114942528736
"LAO-term(H=24,λ=0.5)",24,0.5,1.124128194001969,0.0,0.22690995037913175,44.41684743122178,0.46499999999999964,3.859250874214374,1.7454391566629697,1.0771112477515552,2.3726216521608525,1.0689655172413783
"LAO-term(H=24,λ=0.2)",24,0.2,1.1383358819875866,0.0,0.22634725274291187,42.855181301607345,0.4875000000000001,3.8727119323409056,1.7411107678638937,1.0392407492645788,2.3808973509980023,1.120689655172414
"LAO-term(H=24,λ=0.1)",24,0.1,1.135419494996313,0.0,0.22841633538142747,43.01394336334839,0.9900000000000002,3.913216210481882,1.757026587551847,1.0430907389038098,2.4057989006652,2.2758620689655173
"LAO-term(H=24,λ=2.0)",24,2.0,1.1333395080291666,0.0,0.22907380397475444,43.1593450198256,0.62,4.008764682081322,1.7620839745247479,1.0466167379039826,2.46454096743842,1.425287356321839
